station_id,date,t_min,t_max,t_mean
IUNG1,2025-05-11,4.0,14.1,9.05
IUNG1,2025-05-12,0.0,14.4,7.2
IUNG1,2025-05-13,0.0,16.4,8.2
IUNG1,2025-05-14,0.0,16.1,8.05
IUNG1,2025-05-15,0.0,12.0,6.0
IUNG1,2025-05-16,0.0,10.6,5.3
IUNG1,2025-05-17,0.0,12.5,6.25
IUNG1,2025-05-18,0.0,10.6,5.3
IUNG1,2025-05-19,6.4,16.2,11.3
IUNG1,2025-05-20,0.0,21.2,10.6
IUNG1,2025-05-21,0.0,23.7,11.85
IUNG1,2025-05-22,9.5,22.2,15.85
IUNG1,2025-05-23,8.6,14.6,11.6
IUNG1,2025-05-24,0.0,15.1,7.55
IUNG1,2025-05-25,0.0,19.5,9.75
IUNG1,2025-05-26,0.0,22.6,11.3
IUNG1,2025-05-27,0.0,21.8,10.9
IUNG1,2025-05-28,8.0,22.6,15.3
IUNG1,2025-05-29,0.0,15.0,7.5
IUNG1,2025-05-30,0.0,21.7,10.85
IUNG1,2025-05-31,0.0,24.9,12.45
IUNG1,2025-06-01,12.7,27.2,19.95
IUNG1,2025-06-02,0.0,27.2,13.6
IUNG1,2025-06-03,0.0,22.1,11.05
IUNG1,2025-06-04,0.0,27.3,13.65
IUNG1,2025-06-05,0.0,27.4,13.7
IUNG1,2025-06-06,15.9,27.5,21.7
IUNG1,2025-06-07,0.0,27.4,13.7
IUNG1,2025-06-08,12.0,21.8,16.9
IUNG1,2025-06-09,7.8,17.5,12.65
IUNG1,2025-06-10,6.8,21.1,13.95
IUNG1,2025-06-11,0.0,20.3,10.15
IUNG1,2025-06-12,0.0,20.2,10.1
IUNG1,2025-06-13,0.0,19.9,9.95
IUNG1,2025-06-14,0.0,22.6,11.3
IUNG1,2025-06-15,0.0,26.3,13.15
IUNG1,2025-06-16,0.0,29.1,14.55
IUNG1,2025-06-17,0.0,22.8,11.4
IUNG1,2025-06-18,0.0,26.9,13.45
IUNG1,2025-06-19,0.0,21.1,10.55
IUNG1,2025-06-20,0.0,21.6,10.8
IUNG1,2025-06-21,0.0,24.2,12.1
IUNG1,2025-06-22,0.0,26.8,13.4
IUNG1,2025-06-23,11.1,30.0,20.55
IUNG1,2025-06-24,0.0,21.4,10.7
IUNG1,2025-06-25,12.6,22.4,17.5
IUNG1,2025-06-26,0.0,25.4,12.7
IUNG1,2025-06-27,0.0,23.4,11.7
IUNG1,2025-06-28,0.0,22.9,11.45
IUNG1,2025-06-29,0.0,26.6,13.3
IUNG1,2025-06-30,12.2,23.3,17.75
IUNG1,2025-07-01,0.0,25.6,12.8
IUNG1,2025-07-02,0.0,31.7,15.85
IUNG1,2025-07-03,15.4,35.4,25.4
IUNG1,2025-07-04,10.5,23.7,17.1
IUNG1,2025-07-05,0.0,26.8,13.4
IUNG1,2025-07-06,0.0,31.5,15.75
IUNG1,2025-07-07,0.0,29.2,14.6
IUNG1,2025-07-08,0.0,24.9,12.45
IUNG1,2025-07-09,0.0,17.0,8.5
IUNG1,2025-07-10,0.0,19.0,9.5
IUNG1,2025-07-11,0.0,18.0,9.0
IUNG1,2025-07-12,11.0,24.5,17.75
IUNG1,2025-07-13,12.4,27.8,20.1
IUNG1,2025-07-14,0.0,28.6,14.3
IUNG1,2025-07-15,0.0,27.9,13.95
IUNG1,2025-07-16,0.0,24.3,12.15
IUNG1,2025-07-17,0.0,21.2,10.6
IUNG1,2025-07-18,15.3,25.2,20.25
IUNG1,2025-07-19,0.0,23.0,11.5
IUNG1,2025-07-20,0.0,26.4,13.2
IUNG1,2025-07-21,0.0,30.1,15.05
IUNG1,2025-07-22,0.0,26.2,13.1
IUNG1,2025-07-23,0.0,26.2,13.1
IUNG1,2025-07-24,0.0,28.3,14.15
IUNG1,2025-07-25,0.0,25.7,12.85
IUNG1,2025-07-26,0.0,28.2,14.1
IUNG1,2025-07-27,18.0,24.5,21.25
IUNG1,2025-07-28,0.0,23.8,11.9
IUNG1,2025-07-29,0.0,22.0,11.0
IUNG1,2025-07-30,12.0,24.2,18.1
IUNG1,2025-07-31,11.6,23.7,17.65
IUNG1,2025-08-01,0.0,24.9,12.45
IUNG1,2025-08-02,0.0,25.4,12.7
IUNG1,2025-08-03,15.0,29.7,22.35
IUNG1,2025-08-04,14.1,23.8,18.95
IUNG1,2025-08-05,0.0,27.2,13.6
IUNG1,2025-08-06,0.0,21.6,10.8
IUNG1,2025-08-07,9.8,24.6,17.2
IUNG1,2025-08-08,10.8,27.0,18.9
IUNG1,2025-08-09,13.3,29.2,21.25
IUNG1,2025-08-10,0.0,28.5,14.25
IUNG1,2025-08-11,0.0,24.2,12.1
IUNG1,2025-08-12,10.1,27.5,18.8
IUNG1,2025-08-13,11.7,31.4,21.55
IUNG1,2025-08-14,0.0,22.1,11.05
IUNG1,2025-08-15,0.0,32.4,16.2
IUNG1,2025-08-16,17.0,31.5,24.25
IUNG1,2025-08-17,13.4,24.4,18.9
IUNG1,2025-08-18,0.0,23.3,11.65
IUNG1,2025-08-19,0.0,24.8,12.4
IUNG1,2025-08-20,0.0,27.3,13.65
IUNG1,2025-08-21,0.0,24.1,12.05
IUNG1,2025-08-22,12.2,23.6,17.9
IUNG1,2025-08-23,0.0,18.2,9.1
IUNG1,2025-08-24,0.0,19.6,9.8
